,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,456sd,1,2,5,0,3947,,
1,456sd,2,2,8,1,3003,0,1
2,456sd,3,2,6,0,2797,,
3,456sd,4,1,14,1,2731,3,0
4,456sd,5,2,1,1,12890,0,1
5,456sd,6,2,18,1,3100,2,1
6,456sd,7,2,19,0,2558,,
7,456sd,8,2,17,1,4171,2,1
8,456sd,9,1,12,0,2620,,
9,456sd,10,2,10,1,5852,3,1
10,456sd,11,2,7,0,3212,,
11,456sd,12,2,0,1,2523,3,1
12,456sd,13,2,13,0,2573,,
13,456sd,14,2,14,0,2348,,
14,456sd,15,2,15,0,2987,,
15,456sd,16,1,4,0,2379,,
16,456sd,17,1,5,0,2363,,
17,456sd,18,2,16,0,2475,,
18,456sd,19,1,2,0,2412,,
19,456sd,20,2,2,0,3035,,
20,456sd,21,1,11,0,2251,,
21,456sd,22,1,17,1,3996,1,3
22,456sd,23,1,0,1,2381,1,2
23,456sd,24,1,6,1,3742,3,1
24,456sd,25,1,3,1,3484,1,3
25,456sd,26,1,8,0,2301,,
26,456sd,27,1,9,1,6203,3,2
27,456sd,28,1,10,1,2509,3,1
28,456sd,29,1,13,1,2653,1,3
29,456sd,30,2,11,1,10812,3,1
30,456sd,31,1,1,1,3117,2,1
31,456sd,32,1,18,0,2252,,
32,456sd,33,1,16,0,2268,,
33,456sd,34,2,3,0,2300,,
34,456sd,35,2,4,0,2299,,
35,456sd,36,2,12,0,2795,,
36,456sd,37,1,15,0,2380,,
37,456sd,38,1,7,0,2331,,
38,456sd,39,1,19,0,2731,,
39,456sd,40,2,9,0,3692,,
