,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Gaoqi-f-22-line,1,4,5,0,11008,,
1,Gaoqi-f-22-line,2,1,5,0,17613,,
2,Gaoqi-f-22-line,3,1,8,1,17175,1,0
3,Gaoqi-f-22-line,4,1,13,1,24224,3,2
4,Gaoqi-f-22-line,5,2,4,0,22956,,
5,Gaoqi-f-22-line,6,3,10,1,17997,2,0
6,Gaoqi-f-22-line,7,3,17,1,23920,0,3
7,Gaoqi-f-22-line,8,1,10,1,15953,1,0
8,Gaoqi-f-22-line,9,4,8,1,9382,0,2
9,Gaoqi-f-22-line,10,1,1,0,23159,,
10,Gaoqi-f-22-line,11,3,1,1,21060,2,1
11,Gaoqi-f-22-line,12,1,12,0,23344,,
12,Gaoqi-f-22-line,13,3,13,1,8254,3,0
13,Gaoqi-f-22-line,14,1,2,1,23426,1,0
14,Gaoqi-f-22-line,15,2,6,0,22933,,
15,Gaoqi-f-22-line,16,2,8,1,25348,1,0
16,Gaoqi-f-22-line,17,4,1,0,24004,,
17,Gaoqi-f-22-line,18,1,6,1,23485,1,0
18,Gaoqi-f-22-line,19,4,6,1,23355,2,1
19,Gaoqi-f-22-line,20,3,0,1,25165,0,3
20,Gaoqi-f-22-line,21,4,2,0,23217,,
21,Gaoqi-f-22-line,22,2,1,0,23555,,
22,Gaoqi-f-22-line,23,3,16,1,15182,2,0
23,Gaoqi-f-22-line,24,1,7,1,14422,1,0
24,Gaoqi-f-22-line,25,4,13,1,16804,2,0
25,Gaoqi-f-22-line,26,2,19,0,19135,,
26,Gaoqi-f-22-line,27,2,16,0,24166,,
27,Gaoqi-f-22-line,28,1,18,1,14814,1,0
28,Gaoqi-f-22-line,29,2,18,1,19653,3,0
29,Gaoqi-f-22-line,30,4,9,1,24753,2,1
30,Gaoqi-f-22-line,31,1,16,1,24018,1,0
31,Gaoqi-f-22-line,32,3,2,0,23409,,
32,Gaoqi-f-22-line,33,2,9,1,29126,3,1
33,Gaoqi-f-22-line,34,2,14,0,23097,,
34,Gaoqi-f-22-line,35,4,19,1,23421,2,1
35,Gaoqi-f-22-line,36,1,17,1,17706,1,0
36,Gaoqi-f-22-line,37,1,19,1,22479,1,0
37,Gaoqi-f-22-line,38,2,3,1,23504,1,3
38,Gaoqi-f-22-line,39,3,18,1,12397,2,1
39,Gaoqi-f-22-line,40,2,10,1,7016,0,2
40,Gaoqi-f-22-line,41,1,0,1,15652,1,0
41,Gaoqi-f-22-line,42,2,0,0,19221,,
42,Gaoqi-f-22-line,43,2,17,0,22836,,
43,Gaoqi-f-22-line,44,3,11,1,16439,2,0
44,Gaoqi-f-22-line,45,3,15,1,24561,2,0
45,Gaoqi-f-22-line,46,4,18,1,23189,2,0
46,Gaoqi-f-22-line,47,3,3,0,23188,,
47,Gaoqi-f-22-line,48,3,4,0,23028,,
48,Gaoqi-f-22-line,49,2,2,1,23316,0,3
49,Gaoqi-f-22-line,50,1,14,1,23215,2,0
50,Gaoqi-f-22-line,51,2,13,1,11498,1,3
51,Gaoqi-f-22-line,52,4,16,1,22938,0,2
52,Gaoqi-f-22-line,53,1,4,1,22920,1,0
53,Gaoqi-f-22-line,54,3,9,1,22835,2,0
54,Gaoqi-f-22-line,55,2,11,0,23678,,
55,Gaoqi-f-22-line,56,4,0,1,23443,2,1
56,Gaoqi-f-22-line,57,4,4,0,22889,,
57,Gaoqi-f-22-line,58,4,17,1,15960,2,1
58,Gaoqi-f-22-line,59,4,11,0,18191,,
59,Gaoqi-f-22-line,60,2,5,1,23708,0,3
60,Gaoqi-f-22-line,61,2,12,0,22648,,
61,Gaoqi-f-22-line,62,4,12,1,24542,2,1
62,Gaoqi-f-22-line,63,3,12,0,24603,,
63,Gaoqi-f-22-line,64,4,14,1,22740,2,1
64,Gaoqi-f-22-line,65,4,15,0,23495,,
65,Gaoqi-f-22-line,66,3,8,1,23244,2,0
66,Gaoqi-f-22-line,67,1,15,0,23016,,
67,Gaoqi-f-22-line,68,1,3,1,14895,1,0
68,Gaoqi-f-22-line,69,1,9,0,23329,,
69,Gaoqi-f-22-line,70,2,15,1,23964,0,3
70,Gaoqi-f-22-line,71,3,19,0,23074,,
71,Gaoqi-f-22-line,72,4,7,1,17935,2,1
72,Gaoqi-f-22-line,73,3,5,1,18053,2,0
73,Gaoqi-f-22-line,74,3,6,0,23517,,
74,Gaoqi-f-22-line,75,1,11,1,20357,1,0
75,Gaoqi-f-22-line,76,3,14,1,11495,1,0
76,Gaoqi-f-22-line,77,3,7,1,19409,2,0
77,Gaoqi-f-22-line,78,4,3,0,23568,,
78,Gaoqi-f-22-line,79,2,7,0,23101,,
79,Gaoqi-f-22-line,80,4,10,0,23028,,
