,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Luoyuting-f-20-line,1,3,4,1,8324,3,0
1,Luoyuting-f-20-line,2,1,7,1,10365,1,0
2,Luoyuting-f-20-line,3,3,14,1,8722,1,0
3,Luoyuting-f-20-line,4,2,11,0,25132,,
4,Luoyuting-f-20-line,5,2,13,0,13942,,
5,Luoyuting-f-20-line,6,4,6,0,15385,,
6,Luoyuting-f-20-line,7,3,11,1,13090,2,1
7,Luoyuting-f-20-line,8,1,2,1,17692,1,0
8,Luoyuting-f-20-line,9,4,7,0,19101,,
9,Luoyuting-f-20-line,10,3,8,1,18077,1,0
10,Luoyuting-f-20-line,11,1,17,1,9996,1,0
11,Luoyuting-f-20-line,12,1,12,1,7675,1,0
12,Luoyuting-f-20-line,13,3,12,1,9480,1,3
13,Luoyuting-f-20-line,14,4,17,1,9801,2,1
14,Luoyuting-f-20-line,15,1,19,1,19979,1,0
15,Luoyuting-f-20-line,16,4,3,0,19601,,
16,Luoyuting-f-20-line,17,2,1,1,16027,1,0
17,Luoyuting-f-20-line,18,3,2,0,13232,,
18,Luoyuting-f-20-line,19,2,5,1,11932,3,0
19,Luoyuting-f-20-line,20,1,15,1,14486,1,0
20,Luoyuting-f-20-line,21,1,1,1,5971,1,0
21,Luoyuting-f-20-line,22,1,6,0,17535,,
22,Luoyuting-f-20-line,23,2,0,0,14749,,
23,Luoyuting-f-20-line,24,2,2,1,19780,2,1
24,Luoyuting-f-20-line,25,2,10,0,12630,,
25,Luoyuting-f-20-line,26,4,13,1,18579,2,1
26,Luoyuting-f-20-line,27,2,9,0,20672,,
27,Luoyuting-f-20-line,28,2,16,1,17357,3,2
28,Luoyuting-f-20-line,29,1,9,1,20538,1,0
29,Luoyuting-f-20-line,30,2,17,0,21944,,
30,Luoyuting-f-20-line,31,3,5,1,18051,2,0
31,Luoyuting-f-20-line,32,1,5,1,15159,1,0
32,Luoyuting-f-20-line,33,1,18,1,9410,1,0
33,Luoyuting-f-20-line,34,2,18,1,14413,2,1
34,Luoyuting-f-20-line,35,1,3,1,12927,1,0
35,Luoyuting-f-20-line,36,4,4,0,16562,,
36,Luoyuting-f-20-line,37,2,3,1,12841,2,1
37,Luoyuting-f-20-line,38,4,0,0,13129,,
38,Luoyuting-f-20-line,39,3,6,0,20319,,
39,Luoyuting-f-20-line,40,3,7,0,21379,,
40,Luoyuting-f-20-line,41,3,9,1,14676,2,1
41,Luoyuting-f-20-line,42,3,10,1,20781,1,0
42,Luoyuting-f-20-line,43,4,9,0,21183,,
43,Luoyuting-f-20-line,44,3,3,0,17743,,
44,Luoyuting-f-20-line,45,1,4,1,11422,2,1
45,Luoyuting-f-20-line,46,2,4,1,19567,2,1
46,Luoyuting-f-20-line,47,2,6,1,17794,1,3
47,Luoyuting-f-20-line,48,1,16,1,9860,1,0
48,Luoyuting-f-20-line,49,4,12,0,13483,,
49,Luoyuting-f-20-line,50,4,10,0,20943,,
50,Luoyuting-f-20-line,51,4,16,1,22455,2,1
51,Luoyuting-f-20-line,52,1,0,1,13541,1,0
52,Luoyuting-f-20-line,53,2,8,0,17462,,
53,Luoyuting-f-20-line,54,1,8,1,17790,1,0
54,Luoyuting-f-20-line,55,2,15,0,20010,,
55,Luoyuting-f-20-line,56,4,8,0,23559,,
56,Luoyuting-f-20-line,57,4,19,0,16876,,
57,Luoyuting-f-20-line,58,4,14,0,11523,,
58,Luoyuting-f-20-line,59,3,15,1,16483,1,0
59,Luoyuting-f-20-line,60,1,10,1,20653,1,0
60,Luoyuting-f-20-line,61,3,1,1,22840,3,0
61,Luoyuting-f-20-line,62,4,18,0,22385,,
62,Luoyuting-f-20-line,63,1,13,0,17216,,
63,Luoyuting-f-20-line,64,3,17,1,17575,1,0
64,Luoyuting-f-20-line,65,4,15,0,22778,,
65,Luoyuting-f-20-line,66,2,12,0,17175,,
66,Luoyuting-f-20-line,67,3,13,0,15188,,
67,Luoyuting-f-20-line,68,3,18,0,20001,,
68,Luoyuting-f-20-line,69,3,19,0,22862,,
69,Luoyuting-f-20-line,70,4,1,1,23516,0,3
70,Luoyuting-f-20-line,71,4,5,1,23169,2,1
71,Luoyuting-f-20-line,72,4,2,1,20848,2,1
72,Luoyuting-f-20-line,73,2,19,0,17782,,
73,Luoyuting-f-20-line,74,1,14,1,20123,1,0
74,Luoyuting-f-20-line,75,2,7,1,12315,3,0
75,Luoyuting-f-20-line,76,3,16,0,16901,,
76,Luoyuting-f-20-line,77,4,11,1,22807,2,0
77,Luoyuting-f-20-line,78,3,0,1,21373,2,0
78,Luoyuting-f-20-line,79,2,14,0,17634,,
79,Luoyuting-f-20-line,80,1,11,1,9466,1,0
