,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Practice,1,1,13,0,4204,,
1,Practice,2,4,13,0,2728,,
2,Practice,3,3,13,0,4258,,
0,Practice,1,1,13,0,2740,,
0,Practice,1,3,13,0,3813,,
1,Practice,2,4,13,0,2480,,
2,Practice,3,1,13,1,2424,3,2
3,Practice,4,2,13,1,3423,,
0,Practice,1,1,13,0,2883,,
1,Practice,2,3,13,1,3071,1,3
2,Practice,3,2,13,1,56616,,
3,Practice,4,4,13,1,7122,,
0,Practice,1,4,-1,0,3704,,
1,Practice,2,1,-1,1,4425,0,1
2,Practice,3,1,-1,0,6570,,
3,Practice,4,3,-1,1,4263,3,1
4,Practice,5,2,-1,1,2452,,
5,Practice,6,4,-1,1,2686,,
6,Practice,7,4,-1,1,4172,,
7,Practice,8,1,-1,1,2519,3,0
8,Practice,9,3,-1,1,5264,3,1
9,Practice,10,1,-1,0,7217,,
0,Practice,1,4,-1,0,5614,,
1,Practice,2,3,-1,1,3565,3,1
2,Practice,3,4,-1,0,3603,,
0,Practice,1,3,-1,0,4014,,
1,Practice,2,2,-1,1,4414,,
2,Practice,3,1,-1,1,2588,3,0
3,Practice,4,3,-1,1,6784,1,3
4,Practice,5,4,-1,1,10718,,
5,Practice,6,3,-1,1,2553,2,1
0,Practice,1,1,-1,0,2549,,
1,Practice,2,4,-1,1,2454,,
2,Practice,3,2,-1,1,2400,,
3,Practice,4,3,-1,1,2446,2,1
4,Practice,5,4,-1,1,4932,,
5,Practice,6,3,-1,1,2377,2,3
6,Practice,7,2,-1,0,12152,,
0,Practice,1,1,-1,0,4075,,
1,Practice,2,1,-1,0,2431,,
2,Practice,3,3,-1,1,3293,3,1
3,Practice,4,1,-1,1,5047,2,0
0,Practice,1,3,-1,0,2560,,
1,Practice,2,2,-1,1,2401,,
2,Practice,3,1,-1,1,2364,2,1
3,Practice,4,4,-1,0,3067,,
4,Practice,5,3,-1,0,8485,,
5,Practice,6,2,-1,1,8994,,
6,Practice,7,1,-1,1,9048,1,0
0,Practice,1,2,2,0,2660,,
1,Practice,2,2,5,1,4285,,
2,Practice,3,4,1,1,2685,,
3,Practice,4,2,4,0,2452,,
4,Practice,5,4,3,1,2667,,
5,Practice,6,2,5,1,2406,,
6,Practice,7,2,3,0,3064,,
7,Practice,8,3,4,1,2585,3,0
8,Practice,9,2,1,1,2633,,
9,Practice,10,1,1,1,2507,1,0
