,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Wumeng-f-26-line,1,4,6,0,16285,,
1,Wumeng-f-26-line,2,1,0,0,14270,,
2,Wumeng-f-26-line,3,2,0,0,21722,,
3,Wumeng-f-26-line,4,3,7,1,23340,2,1
4,Wumeng-f-26-line,5,2,16,0,22250,,
5,Wumeng-f-26-line,6,2,7,1,20781,3,0
6,Wumeng-f-26-line,7,2,19,0,22946,,
7,Wumeng-f-26-line,8,2,4,1,22524,3,2
8,Wumeng-f-26-line,9,3,18,1,22402,0,3
9,Wumeng-f-26-line,10,2,18,0,23498,,
10,Wumeng-f-26-line,11,4,1,0,21277,,
11,Wumeng-f-26-line,12,3,0,0,22195,,
12,Wumeng-f-26-line,13,3,10,1,20284,1,0
13,Wumeng-f-26-line,14,1,12,1,19999,1,0
14,Wumeng-f-26-line,15,2,15,0,24034,,
15,Wumeng-f-26-line,16,3,2,1,24267,2,1
16,Wumeng-f-26-line,17,2,13,0,21331,,
17,Wumeng-f-26-line,18,3,19,1,18571,2,1
18,Wumeng-f-26-line,19,4,18,0,22275,,
19,Wumeng-f-26-line,20,4,19,1,22739,2,1
20,Wumeng-f-26-line,21,1,16,0,22592,,
21,Wumeng-f-26-line,22,4,8,1,23972,2,1
22,Wumeng-f-26-line,23,2,12,0,21474,,
23,Wumeng-f-26-line,24,4,2,1,21612,1,0
24,Wumeng-f-26-line,25,3,5,1,23082,1,0
25,Wumeng-f-26-line,26,2,5,0,15741,,
26,Wumeng-f-26-line,27,1,15,1,21285,1,0
27,Wumeng-f-26-line,28,3,12,1,22387,1,3
28,Wumeng-f-26-line,29,1,1,1,20399,1,0
29,Wumeng-f-26-line,30,1,9,1,22531,1,0
30,Wumeng-f-26-line,31,1,6,1,23171,1,0
31,Wumeng-f-26-line,32,2,2,0,21922,,
32,Wumeng-f-26-line,33,4,17,0,17101,,
33,Wumeng-f-26-line,34,1,18,1,22528,1,0
34,Wumeng-f-26-line,35,3,11,0,22124,,
35,Wumeng-f-26-line,36,3,13,1,24627,3,0
36,Wumeng-f-26-line,37,4,11,0,24171,,
37,Wumeng-f-26-line,38,3,6,0,22291,,
38,Wumeng-f-26-line,39,2,9,0,16749,,
39,Wumeng-f-26-line,40,4,9,1,22264,2,1
40,Wumeng-f-26-line,41,1,14,0,22656,,
41,Wumeng-f-26-line,42,3,9,0,22427,,
42,Wumeng-f-26-line,43,3,15,0,22469,,
43,Wumeng-f-26-line,44,1,5,0,22675,,
44,Wumeng-f-26-line,45,2,14,0,22300,,
45,Wumeng-f-26-line,46,1,13,1,22139,1,0
46,Wumeng-f-26-line,47,4,0,0,22211,,
47,Wumeng-f-26-line,48,4,15,1,20764,0,1
48,Wumeng-f-26-line,49,4,3,0,21404,,
49,Wumeng-f-26-line,50,3,3,0,22483,,
50,Wumeng-f-26-line,51,4,10,0,19309,,
51,Wumeng-f-26-line,52,2,11,0,22855,,
52,Wumeng-f-26-line,53,3,8,0,22379,,
53,Wumeng-f-26-line,54,1,7,1,21733,3,2
54,Wumeng-f-26-line,55,4,7,0,22682,,
55,Wumeng-f-26-line,56,1,17,0,24020,,
56,Wumeng-f-26-line,57,2,17,0,24539,,
57,Wumeng-f-26-line,58,1,4,1,22580,1,0
58,Wumeng-f-26-line,59,4,5,1,22306,1,3
59,Wumeng-f-26-line,60,4,13,0,22154,,
60,Wumeng-f-26-line,61,2,8,0,15372,,
61,Wumeng-f-26-line,62,1,10,1,17660,1,0
62,Wumeng-f-26-line,63,2,1,1,21973,1,0
63,Wumeng-f-26-line,64,2,6,0,22282,,
64,Wumeng-f-26-line,65,1,11,0,23443,,
65,Wumeng-f-26-line,66,1,3,1,22812,1,0
66,Wumeng-f-26-line,67,3,1,0,21339,,
67,Wumeng-f-26-line,68,3,4,1,21565,2,1
68,Wumeng-f-26-line,69,4,4,1,25610,2,1
69,Wumeng-f-26-line,70,4,14,1,22105,2,0
70,Wumeng-f-26-line,71,2,10,0,21882,,
71,Wumeng-f-26-line,72,3,16,0,13037,,
72,Wumeng-f-26-line,73,3,14,0,15276,,
73,Wumeng-f-26-line,74,4,16,1,17420,2,1
74,Wumeng-f-26-line,75,1,19,1,20573,3,2
75,Wumeng-f-26-line,76,1,8,1,16717,3,2
76,Wumeng-f-26-line,77,4,12,0,18701,,
77,Wumeng-f-26-line,78,3,17,0,14572,,
78,Wumeng-f-26-line,79,1,2,1,18398,1,0
79,Wumeng-f-26-line,80,2,3,0,24402,,
