,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Yaojianxiong-m-23-line,1,4,14,1,19382,2,0
1,Yaojianxiong-m-23-line,2,4,3,1,24278,3,0
2,Yaojianxiong-m-23-line,3,1,18,1,14381,1,0
3,Yaojianxiong-m-23-line,4,2,12,1,15661,1,0
4,Yaojianxiong-m-23-line,5,4,5,1,18204,2,1
5,Yaojianxiong-m-23-line,6,4,6,1,20045,2,1
6,Yaojianxiong-m-23-line,7,1,3,1,13037,1,0
7,Yaojianxiong-m-23-line,8,1,8,1,10557,1,0
8,Yaojianxiong-m-23-line,9,4,7,1,14460,2,1
9,Yaojianxiong-m-23-line,10,4,16,1,23010,2,1
10,Yaojianxiong-m-23-line,11,4,18,0,22122,,
11,Yaojianxiong-m-23-line,12,1,16,1,10573,1,0
12,Yaojianxiong-m-23-line,13,1,19,1,5757,1,0
13,Yaojianxiong-m-23-line,14,3,5,1,21339,2,0
14,Yaojianxiong-m-23-line,15,3,17,0,22931,,
15,Yaojianxiong-m-23-line,16,1,7,1,21716,1,0
16,Yaojianxiong-m-23-line,17,2,2,0,17678,,
17,Yaojianxiong-m-23-line,18,2,19,0,19468,,
18,Yaojianxiong-m-23-line,19,2,9,0,18877,,
19,Yaojianxiong-m-23-line,20,3,4,0,22166,,
20,Yaojianxiong-m-23-line,21,3,12,0,22168,,
21,Yaojianxiong-m-23-line,22,4,8,0,22028,,
22,Yaojianxiong-m-23-line,23,4,19,0,16459,,
23,Yaojianxiong-m-23-line,24,1,11,0,19116,,
24,Yaojianxiong-m-23-line,25,3,2,0,21766,,
25,Yaojianxiong-m-23-line,26,2,5,0,22364,,
26,Yaojianxiong-m-23-line,27,2,18,0,21859,,
27,Yaojianxiong-m-23-line,28,2,4,0,22123,,
28,Yaojianxiong-m-23-line,29,2,8,0,20318,,
29,Yaojianxiong-m-23-line,30,1,15,1,19869,1,0
30,Yaojianxiong-m-23-line,31,1,9,1,11149,1,0
31,Yaojianxiong-m-23-line,32,1,14,1,23819,1,0
32,Yaojianxiong-m-23-line,33,4,13,0,21963,,
33,Yaojianxiong-m-23-line,34,3,1,1,23483,2,1
34,Yaojianxiong-m-23-line,35,1,4,1,18460,1,0
35,Yaojianxiong-m-23-line,36,1,0,1,19164,1,0
36,Yaojianxiong-m-23-line,37,2,14,0,19182,,
37,Yaojianxiong-m-23-line,38,3,8,1,19676,2,1
38,Yaojianxiong-m-23-line,39,3,10,0,19038,,
39,Yaojianxiong-m-23-line,40,1,1,0,22247,,
40,Yaojianxiong-m-23-line,41,2,6,0,22824,,
41,Yaojianxiong-m-23-line,42,3,6,0,22019,,
42,Yaojianxiong-m-23-line,43,2,15,0,17516,,
43,Yaojianxiong-m-23-line,44,1,17,0,22041,,
44,Yaojianxiong-m-23-line,45,4,15,0,14908,,
45,Yaojianxiong-m-23-line,46,2,0,0,20684,,
46,Yaojianxiong-m-23-line,47,4,4,0,21965,,
47,Yaojianxiong-m-23-line,48,3,14,0,16492,,
48,Yaojianxiong-m-23-line,49,3,9,0,14908,,
49,Yaojianxiong-m-23-line,50,4,12,0,20173,,
50,Yaojianxiong-m-23-line,51,3,0,0,22034,,
51,Yaojianxiong-m-23-line,52,3,19,0,21165,,
52,Yaojianxiong-m-23-line,53,1,12,1,19932,1,0
53,Yaojianxiong-m-23-line,54,2,1,0,16317,,
54,Yaojianxiong-m-23-line,55,1,10,0,22127,,
55,Yaojianxiong-m-23-line,56,2,10,0,16284,,
56,Yaojianxiong-m-23-line,57,4,17,0,22128,,
57,Yaojianxiong-m-23-line,58,4,0,0,17420,,
58,Yaojianxiong-m-23-line,59,4,10,0,17580,,
59,Yaojianxiong-m-23-line,60,3,3,0,22246,,
60,Yaojianxiong-m-23-line,61,4,11,0,22201,,
61,Yaojianxiong-m-23-line,62,2,11,0,12459,,
62,Yaojianxiong-m-23-line,63,4,1,0,19948,,
63,Yaojianxiong-m-23-line,64,2,13,1,22374,1,0
64,Yaojianxiong-m-23-line,65,1,2,0,24762,,
65,Yaojianxiong-m-23-line,66,4,9,0,22443,,
66,Yaojianxiong-m-23-line,67,1,5,1,23701,1,0
67,Yaojianxiong-m-23-line,68,2,3,0,16270,,
68,Yaojianxiong-m-23-line,69,3,15,0,22013,,
69,Yaojianxiong-m-23-line,70,3,13,0,21980,,
70,Yaojianxiong-m-23-line,71,3,16,0,21747,,
71,Yaojianxiong-m-23-line,72,2,7,0,22141,,
72,Yaojianxiong-m-23-line,73,2,16,0,20668,,
73,Yaojianxiong-m-23-line,74,3,7,0,21896,,
74,Yaojianxiong-m-23-line,75,1,6,0,23805,,
75,Yaojianxiong-m-23-line,76,3,18,0,13244,,
76,Yaojianxiong-m-23-line,77,1,13,0,16364,,
77,Yaojianxiong-m-23-line,78,2,17,0,21916,,
78,Yaojianxiong-m-23-line,79,4,2,0,21844,,
79,Yaojianxiong-m-23-line,80,3,11,1,22619,2,1
