,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,practice,1,0,0,0,3576,,
0,practice,1,0,0,1,4359,1,2
1,practice,2,0,0,1,3363,1,3
2,practice,3,0,0,1,1556,2,1
3,practice,4,0,0,1,2820,1,3
4,practice,5,0,0,0,6964,,
5,practice,6,0,0,0,18118,,
0,practice,1,0,0,0,4651,,
1,practice,2,0,0,0,4875,,
2,practice,3,0,0,0,3691,,
3,practice,4,0,0,0,5547,,
0,practice,1,0,0,0,9755,,
1,practice,2,0,0,1,4539,2,1
2,practice,3,0,0,1,6718,2,1
3,practice,4,0,0,1,3182,1,2
4,practice,5,0,0,1,2877,1,3
0,practice,1,0,0,1,16305,1,0
1,practice,2,0,0,1,9739,1,0
2,practice,3,0,0,0,2668,,
3,practice,4,0,0,0,3291,,
0,practice,1,0,0,1,14159,1,0
1,practice,2,0,0,0,4732,,
0,practice,1,0,0,0,16305,,
1,practice,2,0,0,1,16633,1,0
2,practice,3,0,0,1,9005,2,1
3,practice,4,0,0,1,12017,1,0
4,practice,5,0,0,0,15906,,
0,practice,1,0,0,1,4282,1,0
1,practice,2,0,0,1,5564,1,0
2,practice,3,0,0,1,8668,1,0
3,practice,4,0,0,0,3869,,
4,practice,5,0,0,0,18039,,
5,practice,6,0,0,1,12573,2,1
6,practice,7,0,0,0,7980,,
0,practice,1,0,0,0,7794,,
1,practice,2,0,0,1,8907,2,1
2,practice,3,0,0,1,17803,2,1
3,practice,4,0,0,1,16155,1,0
4,practice,5,0,0,1,10796,1,0
5,practice,6,0,0,0,5260,,
0,practice,1,0,0,0,6225,,
1,practice,2,0,0,0,10748,,
2,practice,3,0,0,0,9963,,
3,practice,4,0,0,0,12271,,
4,practice,5,0,0,1,12653,1,0
5,practice,6,0,0,1,11859,2,1
6,practice,7,0,0,0,6845,,
7,practice,8,0,0,0,18663,,
