,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Wangsipeng-m-22-nochain,1,2,9,1,7436,1,0
1,Wangsipeng-m-22-nochain,2,2,16,1,8604,2,3
2,Wangsipeng-m-22-nochain,3,2,15,1,11756,1,0
3,Wangsipeng-m-22-nochain,4,2,1,1,9788,1,0
4,Wangsipeng-m-22-nochain,5,2,5,0,10941,,
5,Wangsipeng-m-22-nochain,6,2,14,0,12519,,
6,Wangsipeng-m-22-nochain,7,1,16,1,12788,2,1
7,Wangsipeng-m-22-nochain,8,1,0,1,8477,3,2
8,Wangsipeng-m-22-nochain,9,1,2,0,11666,,
9,Wangsipeng-m-22-nochain,10,2,17,0,12436,,
10,Wangsipeng-m-22-nochain,11,1,6,0,14331,,
11,Wangsipeng-m-22-nochain,12,1,9,1,15931,1,2
12,Wangsipeng-m-22-nochain,13,1,13,1,12644,3,2
13,Wangsipeng-m-22-nochain,14,2,0,1,10573,2,3
14,Wangsipeng-m-22-nochain,15,1,3,1,12650,1,0
15,Wangsipeng-m-22-nochain,16,1,8,0,12498,,
16,Wangsipeng-m-22-nochain,17,2,11,0,11500,,
17,Wangsipeng-m-22-nochain,18,1,1,1,12490,2,3
18,Wangsipeng-m-22-nochain,19,1,7,0,9933,,
19,Wangsipeng-m-22-nochain,20,1,11,1,12798,3,0
20,Wangsipeng-m-22-nochain,21,2,10,0,12121,,
21,Wangsipeng-m-22-nochain,22,1,18,1,13251,1,0
22,Wangsipeng-m-22-nochain,23,2,6,1,14978,2,3
23,Wangsipeng-m-22-nochain,24,1,4,1,11731,2,1
24,Wangsipeng-m-22-nochain,25,1,5,1,10492,2,1
25,Wangsipeng-m-22-nochain,26,2,12,1,12388,0,2
26,Wangsipeng-m-22-nochain,27,2,2,0,10972,,
27,Wangsipeng-m-22-nochain,28,2,4,0,12337,,
28,Wangsipeng-m-22-nochain,29,1,10,1,12619,3,2
29,Wangsipeng-m-22-nochain,30,2,19,0,9868,,
30,Wangsipeng-m-22-nochain,31,2,3,0,10523,,
31,Wangsipeng-m-22-nochain,32,1,19,0,12012,,
32,Wangsipeng-m-22-nochain,33,2,8,0,9981,,
33,Wangsipeng-m-22-nochain,34,2,18,1,7755,0,2
34,Wangsipeng-m-22-nochain,35,1,15,0,12027,,
35,Wangsipeng-m-22-nochain,36,1,17,0,12612,,
36,Wangsipeng-m-22-nochain,37,1,12,0,12268,,
37,Wangsipeng-m-22-nochain,38,2,7,1,12652,1,0
38,Wangsipeng-m-22-nochain,39,1,14,1,11730,1,2
39,Wangsipeng-m-22-nochain,40,2,13,0,11746,,
