,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Xuzhekai-f-21-nochain,1,1,10,1,12209,2,1
1,Xuzhekai-f-21-nochain,2,2,6,0,8123,,
2,Xuzhekai-f-21-nochain,3,2,17,1,9179,1,0
3,Xuzhekai-f-21-nochain,4,2,0,0,9837,,
4,Xuzhekai-f-21-nochain,5,2,4,0,11966,,
5,Xuzhekai-f-21-nochain,6,2,16,1,11628,3,2
6,Xuzhekai-f-21-nochain,7,2,5,1,9740,1,3
7,Xuzhekai-f-21-nochain,8,2,15,0,6509,,
8,Xuzhekai-f-21-nochain,9,2,18,1,9580,0,2
9,Xuzhekai-f-21-nochain,10,1,3,1,10909,2,1
10,Xuzhekai-f-21-nochain,11,2,1,0,5852,,
11,Xuzhekai-f-21-nochain,12,2,13,0,10698,,
12,Xuzhekai-f-21-nochain,13,1,9,1,11806,1,2
13,Xuzhekai-f-21-nochain,14,2,8,1,9244,1,0
14,Xuzhekai-f-21-nochain,15,1,14,0,11453,,
15,Xuzhekai-f-21-nochain,16,2,14,0,7260,,
16,Xuzhekai-f-21-nochain,17,1,12,0,9259,,
17,Xuzhekai-f-21-nochain,18,2,3,0,12033,,
18,Xuzhekai-f-21-nochain,19,1,17,1,9322,3,1
19,Xuzhekai-f-21-nochain,20,2,9,1,11020,0,3
20,Xuzhekai-f-21-nochain,21,1,2,0,8587,,
21,Xuzhekai-f-21-nochain,22,1,6,0,7212,,
22,Xuzhekai-f-21-nochain,23,1,13,1,9899,3,1
23,Xuzhekai-f-21-nochain,24,1,18,0,7212,,
24,Xuzhekai-f-21-nochain,25,1,8,0,6555,,
25,Xuzhekai-f-21-nochain,26,2,10,1,12806,1,3
26,Xuzhekai-f-21-nochain,27,1,11,0,6845,,
27,Xuzhekai-f-21-nochain,28,1,16,0,9740,,
28,Xuzhekai-f-21-nochain,29,1,0,0,8555,,
29,Xuzhekai-f-21-nochain,30,2,2,0,5691,,
30,Xuzhekai-f-21-nochain,31,1,4,1,4139,1,3
31,Xuzhekai-f-21-nochain,32,2,19,0,6109,,
32,Xuzhekai-f-21-nochain,33,2,11,0,6779,,
33,Xuzhekai-f-21-nochain,34,1,7,0,9131,,
34,Xuzhekai-f-21-nochain,35,2,12,0,8123,,
35,Xuzhekai-f-21-nochain,36,2,7,1,5355,2,3
36,Xuzhekai-f-21-nochain,37,1,1,0,5373,,
37,Xuzhekai-f-21-nochain,38,1,19,1,9339,3,2
38,Xuzhekai-f-21-nochain,39,1,15,0,7997,,
39,Xuzhekai-f-21-nochain,40,1,5,1,9323,2,1
