,name,trail,condition,trajetoryIndex,response,reactionTime,chosenWolfIndex,chosenSheepIndex
0,Yanzhiyuan-m-19-nochain,1,1,10,0,7226,,
1,Yanzhiyuan-m-19-nochain,2,1,13,0,10668,,
2,Yanzhiyuan-m-19-nochain,3,2,15,0,11531,,
3,Yanzhiyuan-m-19-nochain,4,2,1,1,9564,1,0
4,Yanzhiyuan-m-19-nochain,5,2,18,0,9965,,
5,Yanzhiyuan-m-19-nochain,6,1,16,0,10603,,
6,Yanzhiyuan-m-19-nochain,7,2,9,0,12499,,
7,Yanzhiyuan-m-19-nochain,8,2,7,1,10108,2,3
8,Yanzhiyuan-m-19-nochain,9,2,16,1,11453,2,3
9,Yanzhiyuan-m-19-nochain,10,2,4,0,9964,,
10,Yanzhiyuan-m-19-nochain,11,2,19,0,11213,,
11,Yanzhiyuan-m-19-nochain,12,2,17,1,8603,1,0
12,Yanzhiyuan-m-19-nochain,13,2,14,1,11763,1,0
13,Yanzhiyuan-m-19-nochain,14,2,8,1,14827,2,3
14,Yanzhiyuan-m-19-nochain,15,2,13,1,10700,2,3
15,Yanzhiyuan-m-19-nochain,16,1,1,1,13585,1,3
16,Yanzhiyuan-m-19-nochain,17,1,6,0,12505,,
17,Yanzhiyuan-m-19-nochain,18,1,7,0,8940,,
18,Yanzhiyuan-m-19-nochain,19,2,10,1,10732,0,2
19,Yanzhiyuan-m-19-nochain,20,2,2,0,10157,,
20,Yanzhiyuan-m-19-nochain,21,1,0,0,8203,,
21,Yanzhiyuan-m-19-nochain,22,1,19,1,9164,1,0
22,Yanzhiyuan-m-19-nochain,23,1,3,0,8700,,
23,Yanzhiyuan-m-19-nochain,24,1,12,1,10700,3,2
24,Yanzhiyuan-m-19-nochain,25,1,18,1,8716,2,1
25,Yanzhiyuan-m-19-nochain,26,1,5,1,9581,2,1
26,Yanzhiyuan-m-19-nochain,27,2,6,1,11691,1,0
27,Yanzhiyuan-m-19-nochain,28,1,17,0,8044,,
28,Yanzhiyuan-m-19-nochain,29,2,3,0,7195,,
29,Yanzhiyuan-m-19-nochain,30,1,2,0,10380,,
30,Yanzhiyuan-m-19-nochain,31,1,11,0,10924,,
31,Yanzhiyuan-m-19-nochain,32,1,9,1,11468,2,0
32,Yanzhiyuan-m-19-nochain,33,2,12,0,8765,,
33,Yanzhiyuan-m-19-nochain,34,1,8,1,13775,1,0
34,Yanzhiyuan-m-19-nochain,35,1,4,1,11690,2,0
35,Yanzhiyuan-m-19-nochain,36,2,5,1,11682,1,0
36,Yanzhiyuan-m-19-nochain,37,2,0,0,12755,,
37,Yanzhiyuan-m-19-nochain,38,1,15,0,12892,,
38,Yanzhiyuan-m-19-nochain,39,2,11,0,8795,,
39,Yanzhiyuan-m-19-nochain,40,1,14,0,12617,,
